date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:34:38	78839/78839	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2016:12:06%20GMT	http://azim.commonsupport.com/Biztech/index.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/index.html	(from )
09:34:39	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2009%20May%202023%2002:35:52%20GMT	http://azim.commonsupport.com/robots.txt		(from )
09:34:39	15086/15086	---M-Z	200	added ('OK')	image/x-icon	date:Thu,%2022%20Sep%202022%2011:46:12%20GMT	http://azim.commonsupport.com/Biztech/assets/images/favicon.ico	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/images/favicon.ico	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:39	99365/99365	---M-Z	200	added ('OK')	text/css	date:Sun,%2018%20Oct%202020%2021:36:18%20GMT	http://azim.commonsupport.com/Biztech/assets/css/font-awesome-all.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/font-awesome-all.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:40	2807/2807	---M-Z	200	added ('OK')	text/css	date:Thu,%2022%20Sep%202022%2016:02:24%20GMT	http://azim.commonsupport.com/Biztech/assets/css/flaticon.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/flaticon.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:40	5687/5687	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Oct%202019%2000:49:16%20GMT	http://azim.commonsupport.com/Biztech/assets/css/owl.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/owl.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:40	237872/237872	---M-Z	200	added ('OK')	text/css	date:Sun,%2011%20Sep%202022%2015:49:58%20GMT	http://azim.commonsupport.com/Biztech/assets/css/bootstrap.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/bootstrap.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:41	13735/13735	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20Nov%202018%2015:52:20%20GMT	http://azim.commonsupport.com/Biztech/assets/css/jquery.fancybox.min.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/jquery.fancybox.min.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:42	87995/87995	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Apr%202021%2020:49:34%20GMT	http://azim.commonsupport.com/Biztech/assets/css/animate.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/animate.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:42	4007/4007	---M-Z	200	added ('OK')	text/css	date:Tue,%2031%20Dec%202019%2021:23:08%20GMT	http://azim.commonsupport.com/Biztech/assets/css/nice-select.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/nice-select.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:42	13106/13106	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Jan%202023%2015:47:32%20GMT	http://azim.commonsupport.com/Biztech/assets/css/color.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/color.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:43	58479/58479	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Aug%202022%2014:30:00%20GMT	http://azim.commonsupport.com/Biztech/assets/css/elpath.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/elpath.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:43	46107/46107	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Jan%202023%2020:10:02%20GMT	http://azim.commonsupport.com/Biztech/assets/css/style.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/style.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:43	9679/9679	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jan%202023%2017:50:40%20GMT	http://azim.commonsupport.com/Biztech/assets/css/elements-css/banner.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/elements-css/banner.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:44	6039/6039	---M-Z	200	added ('OK')	text/css	date:Tue,%2003%20Jan%202023%2023:35:06%20GMT	http://azim.commonsupport.com/Biztech/assets/css/elements-css/feature.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/elements-css/feature.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:44	6673/6673	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Jan%202023%2016:36:26%20GMT	http://azim.commonsupport.com/Biztech/assets/css/elements-css/about.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/elements-css/about.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:44	6549/6549	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Jan%202023%2015:45:44%20GMT	http://azim.commonsupport.com/Biztech/assets/css/elements-css/service.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/elements-css/service.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:45	3703/3703	---M-Z	200	added ('OK')	text/css	date:Mon,%2002%20Jan%202023%2019:29:12%20GMT	http://azim.commonsupport.com/Biztech/assets/css/elements-css/chooseus.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/elements-css/chooseus.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:45	7288/7288	---M-Z	200	added ('OK')	text/css	date:Mon,%2002%20Jan%202023%2014:16:10%20GMT	http://azim.commonsupport.com/Biztech/assets/css/elements-css/projects.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/elements-css/projects.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:45	3871/3871	---M-Z	200	added ('OK')	text/css	date:Mon,%2002%20Jan%202023%2020:47:08%20GMT	http://azim.commonsupport.com/Biztech/assets/css/elements-css/testimonial.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/elements-css/testimonial.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:46	2563/2563	---M-Z	200	added ('OK')	text/css	date:Sat,%2031%20Dec%202022%2016:30:12%20GMT	http://azim.commonsupport.com/Biztech/assets/css/elements-css/working-process.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/elements-css/working-process.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:46	1083/1083	---M-Z	200	added ('OK')	text/css	date:Sat,%2005%20Nov%202022%2016:34:04%20GMT	http://azim.commonsupport.com/Biztech/assets/css/elements-css/funfact.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/elements-css/funfact.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:46	2110/2110	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Jan%202023%2016:02:26%20GMT	http://azim.commonsupport.com/Biztech/assets/css/elements-css/expertise.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/elements-css/expertise.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:47	5479/5479	---M-Z	200	added ('OK')	text/css	date:Tue,%2003%20Jan%202023%2017:13:58%20GMT	http://azim.commonsupport.com/Biztech/assets/css/elements-css/news.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/elements-css/news.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:47	16657/16657	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Jan%202023%2020:51:06%20GMT	http://azim.commonsupport.com/Biztech/assets/css/responsive.css	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/css/responsive.css	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:48	24896/24896	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Sep%202022%2011:32:50%20GMT	http://azim.commonsupport.com/Biztech/assets/images/logo.png	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/assets/images/logo.png	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:48	68959/68959	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Jan%202023%2017:55:04%20GMT	http://azim.commonsupport.com/Biztech/index-2.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/index-2.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:48	63748/63748	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2016:11:50%20GMT	http://azim.commonsupport.com/Biztech/index-3.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/index-3.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:49	70002/70002	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2013:23:46%20GMT	http://azim.commonsupport.com/Biztech/index-onepage.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/index-onepage.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:49	78894/78894	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2016:11:58%20GMT	http://azim.commonsupport.com/Biztech/index-rtl.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/index-rtl.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:49	39912/39912	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Jan%202023%2017:55:32%20GMT	http://azim.commonsupport.com/Biztech/services.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/services.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:50	44678/44678	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2016:15:22%20GMT	http://azim.commonsupport.com/Biztech/services-2.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/services-2.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:50	33669/33669	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2016:14:48%20GMT	http://azim.commonsupport.com/Biztech/service-details.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/service-details.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:50	33680/33680	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2016:14:12%20GMT	http://azim.commonsupport.com/Biztech/service-details-2.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/service-details-2.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:51	33672/33672	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2016:14:18%20GMT	http://azim.commonsupport.com/Biztech/service-details-3.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/service-details-3.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:51	33676/33676	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2016:14:26%20GMT	http://azim.commonsupport.com/Biztech/service-details-4.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/service-details-4.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:51	33676/33676	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2016:14:34%20GMT	http://azim.commonsupport.com/Biztech/service-details-5.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/service-details-5.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:52	33678/33678	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2016:14:42%20GMT	http://azim.commonsupport.com/Biztech/service-details-6.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/service-details-6.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:52	40569/40569	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2016:16:00%20GMT	http://azim.commonsupport.com/Biztech/team.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/team.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:53	33104/33104	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2016:15:52%20GMT	http://azim.commonsupport.com/Biztech/team-details.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/team-details.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:53	32901/32901	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2016:12:54%20GMT	http://azim.commonsupport.com/Biztech/portfolio.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/portfolio.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:53	32700/32700	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2016:12:40%20GMT	http://azim.commonsupport.com/Biztech/portfolio-2.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/portfolio-2.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:54	29629/29629	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2016:12:48%20GMT	http://azim.commonsupport.com/Biztech/portfolio-details.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/portfolio-details.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:54	57705/57705	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2016:09:48%20GMT	http://azim.commonsupport.com/Biztech/about.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/about.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:54	37211/37211	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2016:13:38%20GMT	http://azim.commonsupport.com/Biztech/pricing.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/pricing.html	(from http://azim.commonsupport.com/Biztech/index.html)
09:34:55	36877/36877	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2016:10:16%20GMT	http://azim.commonsupport.com/Biztech/career.html	C:/xampp/htdocs/central_space/azim.commonsupport.com/Biztech/career.html	(from http://azim.commonsupport.com/Biztech/index.html)
